"teamName","inGameName","checkedInAt","userID","teamID","Nome e # no discord"
"Pilantras","Áris","Sat Sep 12 2020 12:27:32 GMT+0000 (UTC)","59422e0297f2a5034b36b828","5f5a8af576b8305ffaa4d2b2","Gnomo Drogado#0414"
"Arsenio's Sons","MrDeco0o","Sat Sep 12 2020 12:27:43 GMT+0000 (UTC)","594299dfc3225003487f0688","5f53d45d9ba2df6416d80468","Aninha1315#3149"
"BdC E-Sports","Raidem","Sat Sep 12 2020 12:30:21 GMT+0000 (UTC)","5942aa1c61aea6032c2f795e","5f540e58ac8493575c245474","Siqueira, o Gabriel#0476"
"*Skull And Bones*","X1tter","Sat Sep 12 2020 12:26:41 GMT+0000 (UTC)","5942aba686fe6703326194b0","5f53a8ff20ac296025cefa90","jaimejr2#6967"
"BdC E-Sports","Lusca","Sat Sep 12 2020 12:30:21 GMT+0000 (UTC)","594aeeb552381b03421f616c","5f540e58ac8493575c245474","Siqueira, o Gabriel#0476"
"Capone Gaming","Splitoo","Sat Sep 12 2020 12:31:28 GMT+0000 (UTC)","5951b799e9180003425aba0e","5f54241242aba6378979907e","Kyo#0959"
"Heisenberg","gabrielfixe","Sat Sep 12 2020 12:29:15 GMT+0000 (UTC)","595f180203acc4033b61f2ba","5f5c3219f16a31618bea0eea","Gabrielfixe #3048"
"Bar Sem Nome","KingArmageddon","Sat Sep 12 2020 12:28:16 GMT+0000 (UTC)","5968109cf38be30342a9dbef","5f5c1bb50c405a257149483f","KedaDeFps#8270"
"Aécio Neves 45","iTeedy","Sat Sep 12 2020 12:26:40 GMT+0000 (UTC)","59699905107441033ce5fec9","5f580a593fb598326a1ed669","LordNeXxo#3679"
"Aécio Neves 45","caiozindigdiN","Sat Sep 12 2020 12:26:40 GMT+0000 (UTC)","596a3e08f1b32303425c6987","5f580a593fb598326a1ed669","LordNeXxo#3679"
"Los Cuernos","TakaAVaranoKu","Sat Sep 12 2020 12:53:24 GMT+0000 (UTC)","59725876101ac6033a0c4732","5f5b9a67ab8e7e6194e8d8b8","Tubironte#0075"
,"LENDAGX",,"5972e57cd7324e032d341a0c",,"PoseidonGX#5096"
"Risadaria","BatatinhaBRz","Sat Sep 12 2020 12:26:50 GMT+0000 (UTC)","597413317a9b06032e325c29","5f56ba4295561b78729a9d51","BatatinhaBRz#1572"
"Real Kamikaze","MathHill","Sat Sep 12 2020 12:26:39 GMT+0000 (UTC)","597572da1bf7f2032ed8a256","5f55a6a242aba6378979c0bf","MathHill#9451"
"Bar Sem Nome","MilenaPaz","Sat Sep 12 2020 12:28:16 GMT+0000 (UTC)","5979f9ace37dec032d8752c7","5f5c1bb50c405a257149483f","KedaDeFps#8270"
,"rafaelrhsm",,"597b8fb8e67d73033aecb9e6",,"Michelangelo#9841"
"Pilantras","Shirohigei","Sat Sep 12 2020 12:27:32 GMT+0000 (UTC)","597c8ef1a84c570335924457","5f5a8af576b8305ffaa4d2b2","Gnomo Drogado#0414"
"Machado 89","WhessButtowski","Sat Sep 12 2020 12:28:59 GMT+0000 (UTC)","597cfe7c2746ce03328e99f6","5f53a8b72cd06c40debfe311","MrMegar#7627"
"Aposentados & Perigosos","stemps",,"597e0906c2963c032bd6c1f4","5f578cfde425a655aadc85f8","Bright#1710"
"DINO'S PRO","Isaias988","Sat Sep 12 2020 12:52:36 GMT+0000 (UTC)","597f81aa9d1b4703346a7d35","5f53d0b5e425a655aadc24c7","AcrianoBR#6049"
"Heisenberg","aprilemc","Sat Sep 12 2020 12:29:15 GMT+0000 (UTC)","598102052f2b8003291bc6b0","5f5c3219f16a31618bea0eea","Gabrielfixe #3048"
"Heisenberg","Jalinho","Sat Sep 12 2020 12:29:15 GMT+0000 (UTC)","59822cdf404fba0335cea300","5f5c3219f16a31618bea0eea","Gabrielfixe #3048"
"Heisenberg","INEWHEISENBERG","Sat Sep 12 2020 12:29:15 GMT+0000 (UTC)","59826d91606e1f03350f8db8","5f5c3219f16a31618bea0eea","Gabrielfixe #3048"
"MANDRAKES 0800","VINI°","Sat Sep 12 2020 12:30:49 GMT+0000 (UTC)","5982f059a0b5140331a7fd36","5f566ec09ba2df6416d84d8b","VINI°#3125"
"Los Papa Penta","xDusty","Sat Sep 12 2020 12:53:31 GMT+0000 (UTC)","5988a98ee5c9010332d25506","5f5c315a9c6df363ad9f8983","Bibies#4506"
"Los Papa Penta","Bibies","Sat Sep 12 2020 12:53:31 GMT+0000 (UTC)","5995bc2ea0f4990334d1a64f","5f5c315a9c6df363ad9f8983","Bibies#4506"
"Infinity","INUUPY","Sat Sep 12 2020 12:27:05 GMT+0000 (UTC)","59aa210811834a034f5dba68","5f5aafe7513be46175c9a35f","magnus#1244"
"Aposentados & Perigosos","cyancentury",,"59b086597b9f290349779390","5f578cfde425a655aadc85f8","Bright#1710"
"NOPLAYER SPORTS","JAf0","Sat Sep 12 2020 12:26:55 GMT+0000 (UTC)","59bc6efef9790c033c3e92be","5f58f20676b8305ffaa4b936","Dibremann#6642"
"Los Papa Penta","nikitany","Sat Sep 12 2020 12:53:31 GMT+0000 (UTC)","59e15c690cd6b80346fd6fd5","5f5c315a9c6df363ad9f8983","Bibies#4506"
"Só os Ninja","MmAaKkOoAa","Sat Sep 12 2020 12:27:53 GMT+0000 (UTC)","59f255ffbdd8b00351fb6ce8","5f552e6de425a655aadc4ead","MaicaoDaCocada#6561"
"Forces of the Abyss","Frattes","Sat Sep 12 2020 12:42:35 GMT+0000 (UTC)","59f9d9c0272a64035c4f460e","5f5b91820c405a257149379f","Kanster#3095"
"MAYHEM","Redvorax","Sat Sep 12 2020 12:35:17 GMT+0000 (UTC)","5a07453ada46b00350b08ea7","5f543813304c1e3d830d8c66","WaanTeD#1808"
"TOC","SILVERREDLUCK","Sat Sep 12 2020 12:53:18 GMT+0000 (UTC)","5a3d75192b090203771927d3","5f5a7c93e425a655aadcb778","Witchhat#2417"
,"HORADEFUDERVOCE",,"5a5e3c0e7b6ccd037b84efa1",,"Sued#8589"
"Bullet Force","TaylorDx","Sat Sep 12 2020 12:26:41 GMT+0000 (UTC)","5a665feb5f4d340388ea8199","5f5aa65495561b78729aee0e","ghatzx#8148"
"Heisenberg","volk3r","Sat Sep 12 2020 12:29:15 GMT+0000 (UTC)","5a6cc9fba176530393c0fbe8","5f5c3219f16a31618bea0eea","Gabrielfixe #3048"
"TOC","AnnyQueen","Sat Sep 12 2020 12:53:18 GMT+0000 (UTC)","5a6f44e854b925034f6cd152","5f5a7c93e425a655aadcb778","Witchhat#2417"
"BRANZZERS Team","XatubaReturns","Sat Sep 12 2020 12:31:16 GMT+0000 (UTC)","5a6fb0354475f803844ad90b","5f58483b20ac296025cf7893","Xatuba#2487"
"Indra e-Sports","Crystalwing1","Sat Sep 12 2020 12:30:25 GMT+0000 (UTC)","5a7b8f3bc398d00354c1a8de","5f567b94629c8b6045fb2957","Ykaros.Oficial#7382"
"Waldemar's Team","nevërCRY","Sat Sep 12 2020 12:52:52 GMT+0000 (UTC)","5a9025d7abf2ac0385a1d6db","5f554eb942aba6378979b433","Never®#2911"
"Real Kamikaze","Lucas","Sat Sep 12 2020 12:26:39 GMT+0000 (UTC)","5aab9be7eed12603821089d2","5f55a6a242aba6378979c0bf","MathHill#9451"
,"Astani",,"5ac86355adfe15034fa576d5",,"Manitroy#7096"
"Os Ensaboados","Phersya","Sat Sep 12 2020 12:27:49 GMT+0000 (UTC)","5acec94ae237280352a83800","5f53f6f99ba2df6416d80ad8","NaPpYliityzZ#7835"
"Miudol","zefinho23","Sat Sep 12 2020 12:30:59 GMT+0000 (UTC)","5acf644946c86c0385442c5f","5f5c07a1ab8e7e6194e8e577","Zëss#5770"
"Five Keys","Darkangel182","Sat Sep 12 2020 12:52:46 GMT+0000 (UTC)","5ae41ba68f8acb037f1c04f8","5f53d7f5e425a655aadc25ab","Criso#5082"
"Delenis","rhuan001","Sat Sep 12 2020 12:52:54 GMT+0000 (UTC)","5b14483fc9725503c63fbadd","5f5562fe3fb598326a1ea53a","Expertinho#3122"
"Legendary Fangs","SamucaFire","Sat Sep 12 2020 12:29:43 GMT+0000 (UTC)","5b2d5ba92647b703ab995ff0","5f5bfd318d5de561a3938ade","Yonaky#5336"
"TOC","J0T4V3","Sat Sep 12 2020 12:53:18 GMT+0000 (UTC)","5b2e8f8c15e36303baf2f070","5f5a7c93e425a655aadcb778","Witchhat#2417"
"Os Ensaboados","RattRX","Sat Sep 12 2020 12:27:49 GMT+0000 (UTC)","5b4b2ceebd114f03c07c3d57","5f53f6f99ba2df6416d80ad8","NaPpYliityzZ#7835"
"BRANZZERS Team","Turval","Sat Sep 12 2020 12:31:16 GMT+0000 (UTC)","5b4c205825b21403b6f410dc","5f58483b20ac296025cf7893","Xatuba#2487"
"NOPLAYER SPORTS","MCCria","Sat Sep 12 2020 12:26:55 GMT+0000 (UTC)","5b4d5f82c236da03e0392d1f","5f58f20676b8305ffaa4b936","Dibremann#6642"
"TeamSucrilhos","SilvABoosS","Sat Sep 12 2020 12:28:42 GMT+0000 (UTC)","5b4d632d0542c203ce12f26a","5f58397c95561b78729ab9f1","P1TCHU"
"New Uranium","Nykhynulg","Sat Sep 12 2020 12:29:58 GMT+0000 (UTC)","5b50163d8feba103ba61a680","5f5b75f9c170a364bd624aa9","SHAKABACK#9226"
"Renegados","Schoppenhauer","Sat Sep 12 2020 12:28:37 GMT+0000 (UTC)","5b534f2e3de14603cc470fe8","5f59042920ac296025cf84ee","Agvasconcelos #6197"
"Os Ensaboados","IHuntax","Sat Sep 12 2020 12:27:49 GMT+0000 (UTC)","5ba97a5a6a5dbd03a1334015","5f53f6f99ba2df6416d80ad8","NaPpYliityzZ#7835"
,"Alexandreiji28",,"5bb28ce744268703d3964f53",,"alexandre.yzk #6640"
"New Uranium","XanaAGuerreira","Sat Sep 12 2020 12:29:58 GMT+0000 (UTC)","5bb4bcc13e971403d062525f","5f5b75f9c170a364bd624aa9","SHAKABACK#9226"
"Atropeladinos","Troyano01","Sat Sep 12 2020 12:35:00 GMT+0000 (UTC)","5bb4f3578f260803df1f3f4d","5f5aea4b513be46175c9a82e","Henrique de Oliveira#1248"
